from_node,to_node,distance_km,U_food,U_water,origin_tier,origin_air_rating,dest_air_rating,aircraft_type,n_assets,n_sorties_per_window
11,15,1816.0,570416,20543.600000000002,PPL-2,3,3,C17,2,2
11,16,3207.2,570416,20543.600000000002,PPL-2,3,2,C17,2,2
11,17,5136.8,570416,20543.600000000002,PPL-2,3,3,C17,2,2
11,19,5804.4,570416,20543.600000000002,PPL-2,3,3,C17,2,2
11,20,4979.0,570416,20543.600000000002,PPL-2,3,2,C17,2,2
11,21,4903.1,570416,20543.600000000002,PPL-2,3,2,C17,2,2
11,22,3705.1,570416,20543.600000000002,PPL-2,3,2,C17,2,2
11,23,4194.2,570416,20543.600000000002,PPL-2,3,2,C17,2,2
11,24,2226.8,570416,20543.600000000002,PPL-2,3,2,C17,2,2
11,25,1537.6,570416,20543.600000000002,PPL-2,3,3,C17,2,2
11,26,2253.9,570416,20543.600000000002,PPL-2,3,3,C17,2,2
11,27,3183.6,570416,20543.600000000002,PPL-2,3,3,C17,2,2
11,28,2634.0,570416,20543.600000000002,PPL-2,3,3,C17,2,2
11,29,2723.9,570416,20543.600000000002,PPL-2,3,3,C17,2,2
11,30,1761.1,570416,20543.600000000002,PPL-2,3,3,C17,2,2
11,31,2604.9,570416,20543.600000000002,PPL-2,3,3,C17,2,2
11,32,2613.9,570416,20543.600000000002,PPL-2,3,3,C17,2,2
11,33,2743.6,570416,20543.600000000002,PPL-2,3,3,C17,2,2
11,34,3714.5,570416,20543.600000000002,PPL-2,3,3,C17,2,2
11,35,4605.2,570416,20543.600000000002,PPL-2,3,3,C17,2,2
11,36,4576.1,570416,20543.600000000002,PPL-2,3,3,C17,2,2
11,37,3906.1,570416,20543.600000000002,PPL-2,3,3,C17,2,2
11,38,3354.8,570416,20543.600000000002,PPL-2,3,3,C17,2,2
11,39,4020.4,570416,20543.600000000002,PPL-2,3,3,C17,2,2
11,40,1492.9,570416,20543.600000000002,PPL-2,3,3,C17,2,2
11,41,3977.2,570416,20543.600000000002,PPL-2,3,3,C17,2,2
11,43,4429.1,570416,20543.600000000002,PPL-2,3,3,C17,2,2
11,44,5005.1,570416,20543.600000000002,PPL-2,3,3,C17,2,2
11,45,4268.7,570416,20543.600000000002,PPL-2,3,3,C17,2,2
11,46,5276.2,570416,20543.600000000002,PPL-2,3,3,C17,2,2
11,47,3252.6,570416,20543.600000000002,PPL-2,3,3,C17,2,2
12,6,2229.7,200000,200000.0,None,2,3,none,0,0
12,7,2578.4,200000,200000.0,None,2,3,none,0,0
12,8,2507.8,200000,200000.0,None,2,3,none,0,0
12,9,5269.1,200000,200000.0,None,2,3,none,0,0
12,10,3225.7,200000,200000.0,None,2,3,none,0,0
12,11,5322.6,200000,200000.0,None,2,3,none,0,0
12,13,492.7,200000,200000.0,None,2,3,none,0,0
12,14,2247.7,200000,200000.0,None,2,3,none,0,0
12,15,4449.2,200000,200000.0,None,2,3,none,0,0
12,16,3815.5,200000,200000.0,None,2,2,none,0,0
12,17,2589.5,200000,200000.0,None,2,3,none,0,0
12,18,3310.5,200000,200000.0,None,2,3,none,0,0
12,19,2425.1,200000,200000.0,None,2,3,none,0,0
12,20,5370.7,200000,200000.0,None,2,2,none,0,0
